ballot,date,title,year
558,09/07/2013,l'ensemble du projet de loi organique interdisant le cumul de fonctions exécutives locales avec le mandat de député ou de sénateur. [dossier] [analyse du scrutin],2013
549,03/07/2013,l'ensemble du projet de loi relatif à la consommation (première lecture). [dossier] [analyse du scrutin],2013
537,25/06/2013,l'ensemble du projet de loi organique relatif au Procureur de la République financier. [dossier] [analyse du scrutin],2013
536,25/06/2013,l'ensemble du projet de loi relatif à la lutte contre la fraude fiscale et la grande délinquance économique et financière. [dossier] [analyse du scrutin],2013
535,25/06/2013,l'ensemble du projet de loi relatif à la transparence de la vie publique. [dossier] [analyse du scrutin],2013
534,25/06/2013,l'ensemble du projet de loi organique relatif à la transparence de la vie publique. [dossier] [analyse du scrutin],2013
527,05/06/2013,l'ensemble du projet de loi d'orientation et de programmation pour la refondation de l'école de la République (2e lecture). [dossier] [analyse du scrutin],2013
525,04/06/2013,l'ensemble du projet de loi relatif aux attributions du garde des sceaux et des magistrats du ministère public en matière de politique pénale et d'action publique (première lecture). [dossier] [analyse du scrutin],2013
524,04/06/2013,l'ensemble du projet de loi constitutionnelle portant réforme du Conseil supérieur de la magistrature (première lecture). [dossier] [analyse du scrutin],2013
521,28/05/2013,l'ensemble du projet de loi relatif à l'enseignement supérieur et à la recherche. [dossier] [analyse du scrutin],2013
512,24/04/2013,le projet de loi relatif à la sécurisation de l'emploi (texte de la CMP) [dossier] [analyse du scrutin],2013
510,23/04/2013,l'ensemble du projet de loi ouvrant le mariage aux couples de personnes de même sexe (2e lecture). [dossier] [analyse du scrutin],2013
499,17/04/2013,"l'ensemble du projet de loi organique relatif à l'élection des conseillers municipaux, des conseillers intercommunaux et des conseillers départementaux (texte CMP). [dossier] [analyse du scrutin]",2013
498,17/04/2013,"l'ensemble du projet de loi relatif à l'élection des conseillers départementaux, des conseillers municipaux et des conseillers communautaires et modifiant le calendrier électoral (lecture définitive). [dossier] [analyse du scrutin]",2013
496,16/04/2013,"le projet de loi, adopté par le Sénat, après engagement de la procédure accélérée, portant diverses dispositions en matière d'infractructures et de services de transports. [dossier] [analyse du scrutin]",2013
481,10/04/2013,"l'ensemble du projet de loi relatif à l'élection des conseillers départementaux, des conseillers municipaux et des conseillers communautaires, et modifiant le calendrier électoral (nouvelle lecture). [dossier] [analyse du scrutin]",2013
480,09/04/2013,l'ensemble du projet de loi relatif à la sécurisation de l'emploi (première lecture). [dossier] [analyse du scrutin],2013
307,02/04/2013,"le projet de loi relatif à l'élection des conseillers départementaux, des conseillers municipaux et modifiant le calendrier électoral (loi organique). [dossier] [analyse du scrutin]",2013
306,02/04/2013,"le projet de loi relatif à l'élection des conseillers départementaux, des conseillers municipaux et modifiant le calendrier électoral. [dossier] [analyse du scrutin]",2013
290,19/03/2013,l'ensemble du projet de loi d'orientation et de programmation pour la refondation de l'école de la République. [dossier] [analyse du scrutin],2013
280,26/02/2013,l'ensemble de la proposition de loi relative au contrôle des normes applicables aux collectivités territoriales et à la simplification de leur fonctionnement. [dossier] [analyse du scrutin],2013
279,26/02/2013,"l'ensemble du projet de loi organique relatif à l'élection des conseillers municipaux, des délégués communautaires et des conseillers départementaux. [dossier] [analyse du scrutin]",2013
278,26/02/2013,"l'ensemble du projet de loi relatif à l'élection des conseillers départementaux, des conseillers municipaux et des délégués communautaires, et modifiant le calendrier électoral. [dossier] [analyse du scrutin]",2013
260,19/02/2013,l'ensemble du projet de loi de séparation et de régulation des activités bancaires. [dossier] [analyse du scrutin],2013
259,12/02/2013,"l'ensemble de la proposition de résolution tendant à modifier le Règlement de l'Assemblée nationale afin d'instaurer la faculté, pour les groupes politiques, de se doter d'une coprésidence paritaire. [dossier] [analyse du scrutin]",2013
258,12/02/2013,l'ensemble du projet de loi ouvrant le mariage aux couples de personnes de même sexe. [dossier] [analyse du scrutin],2013
84,23/01/2013,l'ensemble du projet de loi portant création du contrat de génération (1ère lecture). [dossier] [analyse du scrutin],2013
81,11/12/2012,l'ensemble du projet de loi de finances rectificative pour 2012 (1ère lecture). [dossier] [analyse du scrutin],2012
70,27/11/2012,l'ensemble du projet de loi relatif à la mobilisation du foncier public en faveur du logement et au renforcement des obligations de production de logement social (première lecture). [dossier] [analyse du scrutin],2012
62,20/11/2012,l'ensemble de la proposition de loi relative à l'abrogation du conseiller territorial. [dossier] [analyse du scrutin],2012
61,20/11/2012,l'ensemble du projet de loi de finances pour 2013. [dossier] [analyse du scrutin],2012
48,30/10/2012,l'ensemble du projet de loi de financement de la sécurité sociale pour 2013. [dossier] [analyse du scrutin],2012
40,23/10/2012,la première partie du projet de loi de finances pour 2013. [dossier] [analyse du scrutin],2012
39,23/10/2012,le projet de loi de programmation des finances publiques pour les années 2012 à 2017. [dossier] [analyse du scrutin],2012
31,10/10/2012,sur l'ensemble du projet de loi organique relatif à la programmation et à la gouvernance des finances publiques. [dossier] [analyse du scrutin],2012
30,09/10/2012,l'ensemble du projet de loi portant création des empois d'avenir (texte de la commission mixte paritaire). [dossier] [analyse du scrutin],2012
29,09/10/2012,"l'ensemble du projet de loi autorisant la ratification du traité sur la stabilité, la coordination et la gouvernance au sein de l'Union économique et monétaire (1re lecture). [dossier] [analyse du scrutin]",2012
