MP,Expected_Direct_Influence,Estimated_2_Waves_Influence_2,wave2se_2,Estimated_2_Waves_Influence_10,wave2se_10,Estimated_2_Waves_Influence_25,wave2se_25,Estimated_2_Waves_Influence_50,wave2se_50,Estimated_2_Waves_Influence_100,wave2se_100
Pascal Popelin,295.47619047619037,634.3,0.20248456731316586,626.7,0.3178049716414141,604.3,3.0693647551244205,403.8,1.8428239199663106,364.6,2.6161039734689444
Pascal Terrasse,277.96031746031764,634.9,0.09486832980505139,626.9,0.41109609582188933,584.0,6.643794096749236,402.2,4.571214280691729,357.8,1.6601204775557703
Pascal Thévenot,29.92857142857147,596.8,6.328980960628653,280.7,20.16484564780995,65.4,17.84499929952366,29.2,1.5086417732516888,29.4,1.839565166010707
Pascale Boistard,161.95238095238082,633.6,0.322490309931942,611.6,2.1456933611306157,398.6,2.8291341431611188,352.6,1.2505998560690785,303.7,3.749799994666382
Pascale Crozon,299.9206349206349,634.5,0.25495097567963926,626.2,0.23664319132398462,599.4,3.3292641829689633,401.7,2.379285607067802,364.3,1.2653062870309306
Pascale Got,291.63492063492055,634.8,0.12649110640673517,626.4,0.35213633723318016,608.7,1.3270267518026906,406.8,3.1553129797216624,364.1,2.224634801489898
Patrice Carvalho,202.41269841269866,634.5,0.15811388300841897,621.7,1.1049886877249016,597.5,1.1768602295939818,562.3,2.2761810121341406,241.5,11.139344684495581
Patrice Martin-Lalande,221.80952380952462,633.2,0.340587727318528,612.7,0.7489993324429602,556.0,4.409081537009721,288.1,6.3489369188864995,261.2,1.8264720090929396
Patrice Prat,237.38888888888883,634.2,0.30983866769659335,625.2,0.36878177829171543,565.8,8.94628414482795,381.5,1.9912307751739875,348.4,2.616103973468944
Patrice Verchère,208.0714285714284,631.5,0.4743416490252569,607.3,0.9279008567729636,541.8,8.13977886677519,275.5,1.380217374184226,254.7,1.470034013211939
Patricia Adam,304.15079365079384,634.7,0.20248456731316586,627.3,0.4254409477236529,606.0,1.8654758106177627,414.7,2.611704424317576,367.1,1.4314328485821468
Patrick Balkany,215.78571428571394,632.7,0.44833023542919775,609.4,1.1153474794878948,529.5,7.28182669390037,278.8,3.3280624994131345,257.4,1.1764352935882194
Patrick Bloche,298.84126984126976,634.8,0.12649110640673517,627.1,0.3860051813123756,601.0,3.149603149604724,406.2,3.2056200648236524,364.3,1.5877657257920639
Patrick Devedjian,203.2063492063487,632.3,0.4701063709417263,607.4,1.49799866488592,497.1,16.490269858313415,275.5,2.673013280924732,252.8,1.598749511336907
Patrick Hetzel,227.01587301587398,634.0,0.31622776601683794,613.9,0.5735852159879994,574.0,1.3711309200802086,330.9,12.33649058687275,273.0,3.0854497241083023
Patrick Labaune,190.0,632.3,0.44833023542919775,604.3,1.6676330531624755,516.4,12.98630047396101,267.4,1.517893276880822,246.9,2.620877715575452
Patrick Lebreton,242.87301587301587,634.5,0.25495097567963926,625.4,0.2097617696340303,557.0,10.907795377618704,382.0,2.727636339397171,345.1,1.8354835875049387
Patrick Lemasle,296.8888888888886,634.7,0.14491376746189438,627.1,0.22135943621178653,608.8,1.901578291840754,419.5,4.889273974732854,366.5,1.258967831201417
Patrick Mennucci,294.88888888888886,634.5,0.15811388300841897,626.9,0.3301514803843836,603.3,2.9429576959242882,411.4,5.637730039652483,365.5,1.7846568297574747
Patrick Ollier,220.9603174603179,632.6,0.5329165037789692,610.7,0.9170605214488299,542.7,9.012269414525953,289.3,2.8108717508986425,261.3,1.8549932614432862
Patrick Vignal,281.7936507936508,634.6,0.15491933384829668,627.4,0.322490309931942,591.9,4.782154326242514,404.6,4.3294341431646695,360.9,1.6398170629676956
Patrick Weiten,22.896825396825513,611.6,2.0356817039999155,284.4,27.887344800106014,21.4,1.2345039489608771,22.3,1.6312571838922272,23.6,1.6565023392678924
Paul Giacobbi,258.65079365079345,634.7,0.14491376746189438,625.9,0.35916569992135944,609.1,1.0242070103255494,483.2,16.570334939282308,368.1,3.2138761643846823
Paul Molac,254.49206349206455,634.9,0.09486832980505139,626.3,0.4483302354291978,594.8,4.730327684209625,394.1,2.3556315501368204,358.5,1.408900280360537
Paul Salen,207.48412698412756,632.8,0.44271887242357305,610.9,0.7134423592694787,545.1,5.916840373036947,279.6,1.8011107683871082,255.5,2.55049014897137
Philip Cordery,279.380952380952,634.5,0.15811388300841897,626.1,0.3301514803843836,576.0,6.102458520956943,393.2,1.5152557539900646,356.0,1.47648230602334
Philippe Armand Martin,198.31746031746042,632.0,0.4472135954999579,607.7,1.5751190431202335,544.5,5.660830327787611,273.8,1.6297239029970687,251.2,1.4127986409959485
Philippe Baumel,268.3888888888886,634.9,0.09486832980505137,626.4,0.28982753492378877,580.2,6.1786729966878795,392.6,2.010969915239907,357.7,1.1049886877249016
Philippe Bies,296.26984126984104,634.8,0.12649110640673517,627.0,0.3464101615137754,603.5,3.259601202601324,407.1,2.479717725871233,365.0,1.5297058540778352
Philippe Briand,210.3968253968257,631.8,0.5059644256269407,607.8,1.214907403878995,536.1,6.734166615105391,277.6,2.6877499883731737,258.8,1.6358484037342824
Philippe Cochet,216.97619047619094,633.0,0.3741657386773941,609.1,0.8420213774008354,547.8,3.1931175988365976,286.7,4.340622075232996,257.9,2.3257256931977164
Philippe Doucet,298.77777777777766,634.8,0.12649110640673517,627.1,0.26267851073127385,594.5,4.040420770167384,400.4,5.306976540366462,368.0,1.5556349186104044
Philippe Duron,306.2777777777777,634.9,0.09486832980505139,627.1,0.3301514803843836,603.2,3.5406214143847685,407.0,1.9595917942265424,366.6,1.2899612397277678
Philippe Folliot,189.99999999999972,633.8,0.23664319132398465,615.6,1.0315037566582101,586.1,2.174626404695758,449.6,21.903972242495193,258.8,5.780657402060772
Philippe Gomès,213.42063492063502,634.5,0.21213203435596426,620.9,0.6848357467305572,597.9,0.6074537019394975,559.4,2.324650511367246,269.2,9.540230605179309
Philippe Gosselin,213.3650793650804,632.0,0.39999999999999997,611.9,0.7930952023559341,530.3,8.967775643937575,277.5,2.7937430089397988,254.8,1.5349267083479914
Philippe Goujon,223.05555555555648,633.2,0.340587727318528,614.1,0.9944847912361455,562.9,2.9847948003171,306.7,8.80800772025093,264.3,2.2541073621280776
Philippe Houillon,218.23809523809567,632.4,0.322490309931942,609.8,1.1117553687749837,526.5,9.541750363533936,279.4,2.3417941839538328,257.3,1.6973508771023156
Philippe Kemel,273.9603174603173,634.8,0.12649110640673517,626.1,0.29832867780352595,602.3,2.980100669440547,400.9,3.1826089926348162,366.8,2.1854061407436376
Philippe Le Ray,219.55555555555668,632.8,0.340587727318528,612.9,0.6700746227100381,568.6,1.9245778757951053,319.6,12.289995931651076,264.7,2.195677571958141
Philippe Martin,215.7222222222228,634.5,0.21213203435596426,625.4,0.47328638264796924,567.9,11.766435314061773,380.5,1.8721645226849053,337.5,2.384323803513273
Philippe Meunier,199.2936507936501,632.4,0.737563556583431,608.2,1.2553883861180173,469.3,18.668717149284788,266.7,2.1121079517865557,248.9,1.6878981011897605
Philippe Naillet,31.103174603174825,592.3,7.08244308131029,342.4,3.305147500490712,106.3,28.648926681465742,32.4,1.4979986648859205,33.5,1.2267844146385296
Philippe Nauche,304.6904761904762,634.9,0.09486832980505139,627.1,0.3301514803843836,604.9,2.5785654926722335,410.7,3.6580049207183962,372.4,1.6923356641044942
Philippe Noguès,253.47619047619182,634.0,0.282842712474619,625.8,0.34058772731852804,603.0,1.2961481396815722,413.3,6.905143010828957,359.0,1.407124727947029
Philippe Plisson,295.142857142857,634.5,0.25495097567963926,627.7,0.40124805295477756,606.2,2.008979840615629,409.8,3.3964687544566043,365.0,1.7663521732655691
Philippe Vigier,205.38888888888863,633.8,0.23664319132398465,618.1,0.6549809157525127,593.0,1.8761663039293717,496.1,15.378198854222168,280.5,3.4561539317570906
Philippe Vitel,225.30952380952476,632.5,0.32403703492039304,613.9,0.9428679653058535,559.4,5.884216175498652,311.8,7.2288311641647836,262.8,2.091889098398861
Pierre Aylagas,298.3015873015871,634.2,0.30983866769659335,627.1,0.22135943621178653,599.3,3.572254190283776,409.3,3.162435770098738,366.4,1.6804761230080003
Pierre Lellouche,199.0634920634914,630.7,0.49091750834534303,603.7,1.91337398330802,481.0,18.056577748842663,270.3,1.5559562975867924,248.1,1.30728726758888
Pierre Lequiller,225.73809523809572,633.4,0.28982753492378877,613.6,0.8148619514985345,546.9,5.16807507685405,285.9,3.793283538044579,264.9,2.2823233776132597
Pierre Léautey,181.76984126984092,633.4,0.28982753492378877,618.8,1.0178408519999578,442.1,9.144889283091402,360.2,1.5671630419327784,320.3,1.6736188335460378
Pierre Morange,214.42857142857193,633.3,0.28460498941515416,611.7,1.0867382389517726,541.6,4.154996991575325,276.0,2.1633307652783933,257.0,2.0784609690826525
Pierre Morel-À-L'Huissier,214.35714285714377,632.8,0.44271887242357305,611.4,0.6957010852370434,540.7,9.569796236075248,295.8,8.442511474673871,261.6,2.6578186544608338
Pierre Moscovici,22.142857142857192,508.3,18.251054764040347,309.8,11.651437679531224,69.0,26.01768629221284,21.7,1.3270267518026906,22.6,1.1764352935882194
Pierre Ribeaud,69.42857142857157,629.7,0.4254409477236529,523.3,12.490036028771094,342.6,2.2636254107073457,123.7,23.036514493299546,66.4,1.4913081505845796
Pierre-Alain Muet,279.9920634920634,634.6,0.20976176963403032,626.3,0.3178049716414141,590.4,4.077253977863042,395.8,1.9534584715319645,359.7,1.3568345514468594
Pierre-Yves Le Borgn',296.80158730158666,634.7,0.14491376746189438,626.5,0.3807886552931954,600.1,4.389646910629601,401.5,5.372615750265414,360.9,1.571305189961517
Pouria Amirshahi,233.99206349206366,634.3,0.20248456731316586,625.7,0.2846049894151541,595.2,2.8488594208911047,392.2,2.6936963451733007,351.0,1.6613247725836149
Razzy Hammadi,281.17460317460336,634.5,0.15811388300841897,627.5,0.40620192023179796,591.0,5.963220606350229,401.9,5.853973009845536,364.7,1.516904743218901
Renaud Gauquelin,37.460317460317675,611.8,7.715957490810845,361.2,5.234118837015453,161.1,29.534539102549065,38.5,2.268259244442751,36.1,2.5707975416201094
René Dosière,297.4523809523807,634.9,0.09486832980505137,627.2,0.30983866769659335,601.3,2.738795355626265,410.6,3.742191871083042,366.6,1.6565023392678924
René Rouquet,301.8015873015873,634.8,0.12649110640673517,626.9,0.3860051813123756,602.1,5.382285759786449,408.6,2.298695282111137,370.3,1.6736188335460378
Richard Ferrand,276.2460317460319,634.8,0.12649110640673517,626.6,0.4939635614091388,597.9,2.971363323459452,405.8,5.5241288906034764,357.8,1.586190404711868
