MP,party
Jean-Paul Tuaiva,UDI
Cécile Untermaier,SER
Daniel Vaillant,SER
Jacques Valax,SER
Manuel Valls,SER
François Vannson,LR
Catherine Vautrin,LR
Michel Vauzelle,SER
Francis Vercamer,UDI
Patrice Verchère,LR
Fabrice Verdier,SER
Michel Vergnier,SER
Arnaud Viala,LR
Jean-Sébastien Vialatte,LR
Philippe Vigier,UDI
Jean-Pierre Vigier,LR
Patrick Vignal,SER
François-Xavier Villain,UDI
Jean-Michel Villaumé,SER
Philippe Vitel,LR
Jean-Jacques Vlody,SER
Michel Voisin,LR
Jean-Luc Warsmann,LR
Laurent Wauquiez,LR
Patrick Weiten,UDI
Éric Woerth,LR
Paola Zanetti,SER
Marie-Jo Zimmermann,LR
Michel Zumkeller,UDI
