;@xsi:type;uid[1];codeType[1];libelle[1];libelleEdition[1];libelleAbrege[1];libelleAbrev[1];viMoDe[1];viMoDe[1]/dateDebut[1];viMoDe[1]/dateAgrement[1];viMoDe[1]/dateFin[1];regimeJuridique[1];regime[1];legislature[1];secretariat[1];secretariat[1]/secretaire01[1];secretariat[1]/secretaire02[1];positionPolitique[1]
;OrganeExterne_Type;PO653350;MINISTERE;Ministère des sports, de la jeunesse, de l'éducation populaire et vie associative;des sports, de la jeunesse, de l'éducation populaire et de la vie associative;Sports, jeunesse, éducation populaire et vie associative;SPO;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653344;MINISTERE;Ministère chargé des relations avec le Parlement;chargé des relations avec le Parlement;Relations avec le Parlement;PAR;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653317;MINISTERE;Ministère chargé de la francophonie;chargée de la francophonie;Francophonie;FRP;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653332;MINISTERE;Ministère chargé des handicapés;chargé des handicapés;Handicapés;HAN;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653323;MINISTERE;Ministère de la justice;;Justice;JUS;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653326;MINISTERE;Ministère des outre-mer;des outre-mer;Outre-mer;OUT;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653341;MINISTERE;Ministère de la réforme de l'État, de la décentralisation et de la fonction publique;de la réforme de l'État, de la décentralisation et de la fonction publique;Réforme de l'État, décentralisation et fonction publique;REF;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653314;MINISTERE;Ministère chargé des Français de l'étranger;chargé des Français de l'étranger;Français de l'étranger;FET;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653347;MINISTERE;Ministère chargé de la réussite éducative;chargée de la réussite éducative;Réussite éducative;REU;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653320;MINISTERE;Ministère de l'intérieur;de l'intérieur;Intérieur;INT;;;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653356;MINISTERE;Ministère du travail, de l'emploi, de la formation professionnelle et du dialogue social;du travail, de l'emploi, de la formation professionnelle et du dialogue social;Travail, emploi, formation professionnelle et dialogue social;TRE;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653353;MINISTERE;Ministère chargé des transports, de la mer et de la pêche;chargé des transports, de la mer et de la pêche;Transports, mer et pêche;TRA;;2012-06-22;;2013-07-02;;;;;;;
;OrganeExterne_Type;PO653359;MINISTERE;Ministère chargé de la ville;chargé de la ville;Ville;VIL;;2012-06-22;;2014-03-31;;;;;;;
;GroupePolitique_type;PO656022;GP;Radical, républicain, démocrate et progressiste;du groupe radical, républicain, démocrate et progressiste;RRDP;RRDP;;2012-06-26;;2017-06-20;;5ème République;14;;;;Minoritaire
